Location,Date,AQI
District of Columbia,1980-08-21,63.0
District of Columbia,1980-08-22,61.0
District of Columbia,1980-08-23,101.0
District of Columbia,1980-08-24,126.0
District of Columbia,1980-08-25,154.0
District of Columbia,1980-08-26,164.0
District of Columbia,1980-08-27,151.0
District of Columbia,1980-08-28,212.0
District of Columbia,1980-08-29,206.0
District of Columbia,1980-08-30,77.0
District of Columbia,1980-08-31,87.0
District of Columbia,1980-09-01,129.0
District of Columbia,1980-09-02,136.0
District of Columbia,1980-09-03,100.0
District of Columbia,1980-09-04,147.0
District of Columbia,1980-09-05,133.0
District of Columbia,1980-09-06,161.0
District of Columbia,1980-09-07,68.0
District of Columbia,1980-09-08,100.0
District of Columbia,1980-09-09,119.0
District of Columbia,1980-09-10,57.0
District of Columbia,1980-09-11,89.0
District of Columbia,1980-09-12,105.0
District of Columbia,1980-09-13,161.0
District of Columbia,1980-09-14,182.0
District of Columbia,1980-09-15,47.0
District of Columbia,1980-09-16,38.0
District of Columbia,1980-09-17,84.0
District of Columbia,1980-09-18,73.0
District of Columbia,1980-09-19,84.0
District of Columbia,1980-09-20,64.0
District of Columbia,1980-09-21,50.0
District of Columbia,1980-09-22,61.0
District of Columbia,1980-09-23,33.0
District of Columbia,1980-09-24,38.0
District of Columbia,1980-09-25,42.0
District of Columbia,1980-09-26,33.0
District of Columbia,1980-09-27,57.0
District of Columbia,1980-09-28,57.0
District of Columbia,1980-09-29,73.0
District of Columbia,1980-09-30,28.0
District of Columbia,1980-10-01,26.0
District of Columbia,1980-10-02,27.0
District of Columbia,1980-10-03,33.0
District of Columbia,1980-10-04,19.0
District of Columbia,1980-10-05,22.0
District of Columbia,1980-10-06,26.0
District of Columbia,1980-10-07,84.0
District of Columbia,1980-10-08,100.0
District of Columbia,1980-10-09,79.0
District of Columbia,1980-10-10,42.0
District of Columbia,1980-10-11,31.0
District of Columbia,1980-10-12,17.0
District of Columbia,1980-10-13,33.0
District of Columbia,1980-10-14,59.0
District of Columbia,1980-10-15,103.0
District of Columbia,1980-10-16,130.0
District of Columbia,1980-10-17,90.0
District of Columbia,1980-10-18,38.0
District of Columbia,1980-10-19,52.0
District of Columbia,1980-10-20,38.0
District of Columbia,1980-10-21,57.0
District of Columbia,1980-10-22,47.0
District of Columbia,1980-10-23,42.0
District of Columbia,1980-10-24,38.0
District of Columbia,1980-10-25,28.0
District of Columbia,1980-10-26,28.0
District of Columbia,1980-10-27,42.0
District of Columbia,1980-10-28,57.0
District of Columbia,1980-10-29,63.0
District of Columbia,1980-10-30,89.0
District of Columbia,1980-10-31,100.0
District of Columbia,1980-11-01,104.0
District of Columbia,1980-11-02,47.0
District of Columbia,1980-11-03,84.0
District of Columbia,1980-11-04,47.0
District of Columbia,1980-11-05,42.0
District of Columbia,1980-11-06,52.0
District of Columbia,1980-11-07,73.0
District of Columbia,1980-11-08,73.0
District of Columbia,1980-11-09,68.0
District of Columbia,1980-11-10,49.0
District of Columbia,1980-11-11,24.0
District of Columbia,1980-11-12,38.0
District of Columbia,1980-11-13,137.0
District of Columbia,1980-11-14,144.0
District of Columbia,1980-11-15,104.0
District of Columbia,1980-11-16,38.0
District of Columbia,1980-11-17,51.0
District of Columbia,1980-11-18,38.0
District of Columbia,1980-11-19,33.0
District of Columbia,1980-11-20,57.0
District of Columbia,1980-11-21,63.0
District of Columbia,1980-11-22,66.0
District of Columbia,1980-11-23,102.0
District of Columbia,1980-11-24,47.0
District of Columbia,1980-11-25,28.0
District of Columbia,1980-11-26,52.0
District of Columbia,1980-11-27,47.0
District of Columbia,1980-11-28,33.0
District of Columbia,1980-11-29,33.0
District of Columbia,1980-11-30,42.0
