Location,Date,People Employed
Fairfax,2016-06,12666
Fairfax,2016-07,12703
Fairfax,2016-08,12541
Fairfax,2016-09,12529
Fairfax,2016-10,12661
Fairfax,2016-11,12681
Fairfax,2016-12,12686
Fairfax,2017-01,12468
Fairfax,2017-02,12561
Fairfax,2017-03,12667
Fairfax,2017-04,12692
Fairfax,2017-05,12731
Fairfax,2017-06,12856
Fairfax,2017-07,12904
Fairfax,2017-08,12710
Fairfax,2017-09,12725
Fairfax,2017-10,12754
Fairfax,2017-11,12736
Fairfax,2017-12,12719
Fairfax,2018-01,12831
Fairfax,2018-02,12963
Fairfax,2018-03,13020
Fairfax,2018-04,13031
Fairfax,2018-05,13080
Fairfax,2018-06,13185
Fairfax,2018-07,13217
Fairfax,2018-08,12946
Fairfax,2018-09,12928
Fairfax,2018-10,13019
Fairfax,2018-11,12993
Fairfax,2018-12,13033
Fairfax,2019-01,12696
Fairfax,2019-02,12803
Fairfax,2019-03,12897
Fairfax,2019-04,12899
Fairfax,2019-05,12972
Fairfax,2019-06,13099
Fairfax,2019-07,13175
Fairfax,2019-08,12959
Fairfax,2019-09,12930
Fairfax,2019-10,13034
Fairfax,2019-11,13017
Fairfax,2019-12,12994
Fairfax,2020-01,12550
Fairfax,2020-02,12626
Fairfax,2020-03,12535
Fairfax,2020-04,11109
Fairfax,2020-05,11170
Fairfax,2020-06,11532
Fairfax,2020-07,11614
Fairfax,2020-08,11780
Fairfax,2020-09,11709
Fairfax,2020-10,11828
Fairfax,2020-11,11776
Fairfax,2020-12,11756
Fairfax,2021-01,11762
Fairfax,2021-02,11882
Fairfax,2021-03,11995
Fairfax,2021-04,12070
Fairfax,2021-05,12141
Fairfax,2021-06,12200
Fairfax,2021-07,12300
Fairfax,2021-08,12164
Fairfax,2021-09,12106
Fairfax,2021-10,12235
Fairfax,2021-11,12288
Fairfax,2021-12,12326
Fairfax,2022-01,12330
Fairfax,2022-02,12478
Fairfax,2022-03,12578
Fairfax,2022-04,12577
Fairfax,2022-05,12647
Fairfax,2022-06,12657
Fairfax,2022-07,12693
Fairfax,2022-08,12625
Fairfax,2022-09,12588
Fairfax,2022-10,12681
Fairfax,2022-11,12656
Fairfax,2022-12,12666
Fairfax,2023-01,12736
Fairfax,2023-02,12856
Fairfax,2023-03,12980
Fairfax,2023-04,12976
Fairfax,2023-05,13012
Fairfax,2023-06,13096
Fairfax,2023-07,13110
Fairfax,2023-08,12993
Fairfax,2023-09,12889
Fairfax,2023-10,12908
Fairfax,2023-11,12919
Fairfax,2023-12,12837
Fairfax,2024-01,12927
Fairfax,2024-02,12932
Fairfax,2024-03,13043
Fairfax,2024-04,13011
Fairfax,2024-05,13062
Fairfax,2024-06,13088
Fairfax,2024-07,13018
Fairfax,2024-08,12865
Fairfax,2024-09,12872
Fairfax,2024-10,12888
Fairfax,2024-11,12807
Fairfax,2024-12,12855
